Start init
Done init
-2.63832	TNaive
-2.63832	TNaiveOutlined
-2.63832	TCompileTimehDim<64>
-2.63832	TCompileTime64hDimOutlined
0	TCLibChecker
-2.63832	TForceBy4
-2.63832	TForceBy4Last
-2.63832	TNaiveSSE4UnsafeOpt
-2.63832	TBy4SSE4UnsafeOpt
-2.63832	TNaiveAvxAuto
-2.63832	TNaiveAvx2Auto
-2.63832	TNaiveAvx512Auto
-2.63832	TNaiveAvx512ASM
-2.63832	TDetectOptimistic
-2.63832	TDetectPessimistic
-2.63832	TDetectJump
-2.63832	TVirtualJump
-2.63832	8.22633	TNaive
-2.63832	8.22633	TMultiDotFromSingle<TNaive>
-2.63832	8.22633	TMultiDotAll
-2.63832	8.22633	TMultiDotCTStep<1>
-2.63832	8.22633	TMultiDotCTStep<2>
-2.63832	8.22633	TMultiDotCTStepOutlined<2>
-2.63832	8.22633	TMultiDotCTStepOutlinedV2<2>
-2.63832	8.22633	TMultiDotCTStepV3
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_SSE42<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX2<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX512<2>
-2.63832	8.22633	TMultiDotV3_ASM_AVX512
531.675	863.36	TPackedProductUnpack<TNaive>
531.675	863.36	TPackedProductUnpack<TVirtualJump>
531.675	863.36	TPackedProductInlined
531.675	863.36	TPackedProductInlinedAvx512Auto
531.675	863.36	TPackedProductInlinedWithMath
531.675	863.36	TPackedProductInlinedWithMathAvx512Auto
531.675	863.36	TPackedProductAvx512ASM
531.675	863.36	TPackedProductV2Avx512ASM
2021-07-25 11:23:49
Running ./for_conf_abstr_level
Run on (32 X 2095.08 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 4096 KiB (x32)
  L3 Unified 16384 KiB (x32)
Load Average: 0.18, 0.12, 0.10
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------
DotPr_TCompileTimehDim64/64                                         2.10 ms         2.10 ms          338
DotPr_TCompileTime64hDimOutlined/64                                 2.10 ms         2.10 ms          328
DotPr_TCLibChecker/64                                              0.626 ms        0.626 ms         1138
DotPr_TCLibChecker/128                                             0.924 ms        0.924 ms          757
DotPr_TCLibChecker/1024                                             4.35 ms         4.35 ms          158
DotPr_TNaive/64                                                     2.10 ms         2.10 ms          340
DotPr_TNaive/128                                                    3.69 ms         3.69 ms          193
DotPr_TNaive/1024                                                   16.1 ms         16.1 ms           44
DotPrD_TNaive/64                                                    1.44 ms         1.44 ms          491
DotPrD_TNaive/128                                                   2.40 ms         2.40 ms          286
DotPrD_TNaive/1024                                                  8.21 ms         8.21 ms           83
DotPr_TNaiveOutlined/64                                             2.10 ms         2.10 ms          338
DotPr_TNaiveOutlined/128                                            3.61 ms         3.61 ms          190
DotPr_TNaiveOutlined/1024                                           16.6 ms         16.6 ms           45
DotPr_TNaiveSSE4UnsafeOpt/64                                       0.975 ms        0.975 ms          719
DotPr_TNaiveSSE4UnsafeOpt/128                                       1.90 ms         1.90 ms          357
DotPr_TNaiveSSE4UnsafeOpt/1024                                      6.46 ms         6.46 ms          109
DotPr_TForceBy4/64                                                  1.20 ms         1.20 ms          595
DotPr_TForceBy4/128                                                 2.09 ms         2.09 ms          329
DotPr_TForceBy4/1024                                                7.02 ms         7.02 ms          101
DotPr_TForceBy4Last/64                                              1.73 ms         1.73 ms          406
DotPr_TForceBy4Last/128                                             2.42 ms         2.42 ms          291
DotPr_TForceBy4Last/1024                                            7.19 ms         7.19 ms           96
DotPr_TBy4SSE4UnsafeOpt/64                                         0.983 ms        0.983 ms          719
DotPr_TBy4SSE4UnsafeOpt/128                                         1.93 ms         1.93 ms          361
DotPr_TBy4SSE4UnsafeOpt/1024                                        6.90 ms         6.90 ms          103
DotPr_TNaiveAvxAuto/64                                             0.726 ms        0.726 ms          966
DotPr_TNaiveAvxAuto/128                                             1.28 ms         1.28 ms          529
DotPr_TNaiveAvxAuto/1024                                            5.66 ms         5.66 ms          123
DotPr_TNaiveAvx2Auto/64                                            0.748 ms        0.748 ms          951
DotPr_TNaiveAvx2Auto/128                                            1.28 ms         1.28 ms          545
DotPr_TNaiveAvx2Auto/1024                                           5.58 ms         5.58 ms          126
DotPr_TNaiveAvx512Auto/64                                          0.625 ms        0.625 ms         1106
DotPr_TNaiveAvx512Auto/128                                          1.05 ms         1.05 ms          665
DotPr_TNaiveAvx512Auto/1024                                         5.45 ms         5.45 ms          126
DotPr_TNaiveAvx512ASM/64                                           0.576 ms        0.576 ms         1248
DotPr_TNaiveAvx512ASM/128                                           1.03 ms         1.03 ms          682
DotPr_TNaiveAvx512ASM/1024                                          5.40 ms         5.40 ms          129
DotPr_TDetectOptimistic/64                                         0.642 ms        0.642 ms         1082
DotPr_TDetectOptimistic/128                                         1.07 ms         1.07 ms          653
DotPr_TDetectOptimistic/1024                                        5.50 ms         5.50 ms          126
DotPr_TDetectPessimistic/64                                        0.758 ms        0.758 ms          870
DotPr_TDetectPessimistic/128                                        1.18 ms         1.18 ms          586
DotPr_TDetectPessimistic/1024                                       5.66 ms         5.66 ms          122
DotPr_TDetectJump/64                                               0.646 ms        0.646 ms         1076
DotPr_TDetectJump/128                                               1.09 ms         1.09 ms          637
DotPr_TDetectJump/1024                                              5.63 ms         5.63 ms          124
DotPr_TVirtualJump/64                                              0.652 ms        0.652 ms         1086
DotPr_TVirtualJump/128                                              1.14 ms         1.14 ms          625
DotPr_TVirtualJump/1024                                             5.67 ms         5.67 ms          125
DotPrMulti_TMultiDotAll/64                                          10.3 ms         10.3 ms           68
